Source,Target,Energy,NumTriangles
104,264,18,3
104,496,16,1
104,638,18,1
104,808,11,1
104,916,17,1
105,128,15,2
105,151,14,4
105,164,14,1
105,171,14,2
105,172,20,2
105,229,19,1
105,295,16,1
105,305,14,1
105,317,14,1
105,355,13,1
105,412,16,1
105,463,18,1
105,547,14,1
105,612,12,1
106,504,10,1
107,219,13,1
107,261,16,1
107,354,16,1
107,471,22,1
107,689,18,2
107,859,13,1
108,140,14,3
108,239,10,1
108,323,12,1
108,359,13,1
108,539,9,1
108,691,10,2
108,738,13,1
109,186,18,3
109,257,14,3
109,374,21,1
109,388,17,1
109,543,18,1
109,661,15,3
109,858,19,1
109,898,18,1
109,910,19,1
110,176,17,2
110,651,17,1
111,116,13,1
111,188,11,2
111,307,14,1
111,466,8,1
111,509,8,2
111,785,6,1
111,825,8,1
111,896,11,1
111,931,5,1
111,968,5,1
112,341,8,1
112,418,6,1
113,130,25,2
113,162,22,2
113,413,23,1
114,167,18,2
114,179,11,2
114,191,16,1
114,402,17,1
114,521,16,1
115,129,16,1
115,180,14,2
115,343,12,1
115,523,19,1
116,900,16,1
117,148,22,1
117,224,17,1
117,348,16,2
117,813,11,1
118,501,9,1
118,606,8,1
119,205,14,2
119,318,12,1
119,393,7,1
119,572,10,2
119,971,9,1
119,990,16,1
120,123,8,3
120,198,10,2
120,212,10,3
120,275,9,2
120,308,11,1
120,420,8,1
120,437,12,1
120,486,7,2
120,497,12,1
120,520,7,2
120,716,14,1
120,745,10,1
120,757,16,1
120,806,14,1
120,823,8,1
120,895,7,1
120,922,10,1
120,925,13,1
122,243,20,1
122,605,19,1
123,198,10,1
123,925,13,1
126,150,7,1
126,190,7,1
126,280,12,1
127,147,11,1
127,346,9,1
128,171,11,1
130,162,15,3
130,185,13,2
130,213,16,5
130,258,18,2
130,541,18,1
130,561,16,1
130,635,14,1
130,810,17,1
130,868,18,1
131,137,3,1
131,327,10,3
131,350,4,2
131,538,12,1
131,727,13,1
131,760,7,1
131,769,12,1
131,847,10,1
131,905,11,1
131,976,7,1
133,279,12,2
133,288,12,2
133,512,4,1
133,540,8,1
133,755,7,1
134,207,10,1
134,320,12,1
134,670,10,1
134,798,10,1
134,863,11,1
136,143,15,1
136,156,15,1
136,599,12,2
136,621,16,1
139,146,16,1
139,399,17,2
139,717,17,1
140,323,14,2
140,510,18,1
140,691,12,1
142,246,9,2
142,251,18,2
142,632,13,2
142,671,9,1
142,701,9,1
142,797,8,1
143,530,15,2
143,675,14,1
144,153,21,1
144,168,19,4
144,357,21,1
144,377,25,1
144,381,18,1
144,546,21,2
144,577,21,1
144,598,20,1
144,702,17,1
144,982,20,1
145,387,16,1
145,687,8,1
145,951,12,1
146,344,12,2
146,686,11,1
147,584,14,2
147,774,19,1
151,164,10,2
151,305,10,1
151,430,13,1
151,612,8,1
152,200,16,2
152,535,17,1
154,197,18,2
154,633,18,1
155,250,7,1
155,631,14,1
155,742,10,3
