Source,Target,Energy,NumTriangles
397,669,17,1
398,643,7,2
398,757,16,1
398,784,11,1
399,564,13,2
399,888,12,1
400,662,13,2
400,891,19,1
401,542,17,2
401,545,24,1
402,413,18,2
402,452,18,2
402,516,16,2
402,553,23,1
402,701,15,2
402,717,18,1
403,429,11,2
403,686,10,2
403,825,11,2
403,859,10,2
403,887,17,1
404,435,12,2
404,454,13,1
404,499,16,1
405,469,20,2
405,601,12,2
405,635,15,1
405,813,13,1
406,624,20,1
407,457,16,2
407,495,15,2
407,858,19,1
408,477,13,1
408,538,19,1
409,470,20,1
410,534,11,1
411,853,16,1
412,562,13,2
412,654,14,1
412,666,17,2
412,755,11,2
412,806,17,1
413,452,14,1
414,482,11,2
414,916,14,1
415,532,13,1
417,430,18,1
418,879,14,2
418,985,9,1
419,650,13,1
421,426,16,2
421,514,19,1
421,898,20,1
422,893,9,1
423,535,11,2
423,810,13,1
424,488,9,1
424,609,9,1
425,529,11,2
425,910,15,1
426,491,15,1
426,898,12,1
427,447,14,1
427,450,11,1
428,718,11,1
429,686,11,1
429,877,15,1
430,543,16,1
431,459,19,2
431,774,18,1
432,552,11,2
432,613,13,2
432,656,11,1
432,744,13,2
432,797,8,1
433,602,10,1
433,672,11,2
433,729,7,1
434,698,9,1
435,499,16,2
435,649,13,1
438,728,13,2
438,783,16,1
438,791,13,2
438,868,14,1
440,512,7,1
440,520,9,1
441,497,12,1
442,561,16,2
442,752,16,1
442,788,19,1
445,614,7,2
445,707,19,2
445,925,13,1
446,559,16,1
448,465,11,2
448,480,14,1
448,585,12,1
450,664,12,1
451,684,12,1
452,553,19,1
453,458,10,2
453,695,12,1
454,571,19,1
456,648,10,1
457,495,11,1
458,695,12,2
458,768,13,1
459,593,19,1
459,774,25,1
460,490,21,1
461,719,19,1
462,794,10,2
462,802,12,1
463,933,18,1
464,472,19,2
464,607,14,1
464,928,12,1
465,585,11,1
466,724,15,2
466,759,14,2
466,773,14,1
466,971,11,1
468,851,14,1
469,601,12,2
469,699,22,1
471,527,21,2
471,820,20,1
472,607,15,1
473,574,11,1
474,573,8,1
474,830,8,1
475,720,18,1
476,687,9,2
476,776,15,1
476,780,14,1
477,533,12,1
478,587,15,1
478,886,11,1
481,642,14,1
482,916,13,1
483,655,9,1
484,549,13,1
484,742,13,1
486,914,11,1
487,702,10,2
487,737,15,1
490,513,14,2
490,570,18,2
490,822,15,2
490,976,14,1
492,510,14,1
492,594,15,1
493,550,11,2
493,640,12,1
494,683,7,2
494,865,6,1
495,858,14,1
496,692,17,1
498,630,11,1
499,649,17,1
501,884,11,1
502,674,16,1
503,556,9,2
503,706,14,1
504,750,13,1
505,572,9,2
505,882,13,1
506,603,13,1
506,911,16,1
507,600,14,2
507,746,15,1
508,863,14,2
508,873,14,2
508,890,16,1
511,626,12,2
511,894,11,2
511,982,10,1
512,606,6,1
513,558,15,1
513,570,14,1
514,682,19,1
516,701,9,1
516,840,13,2
516,940,7,1
517,915,24,1
518,546,17,2
518,856,20,2
518,958,17,1
518,967,21,1
521,795,19,1
522,539,10,2
522,842,14,1
524,569,13,1
526,536,9,2
526,610,12,1
527,820,13,1
528,743,15,2
528,880,14,1
529,910,14,1
531,819,13,1
532,578,19,2
532,848,16,1
533,619,15,1
535,693,12,1
535,810,14,2
535,855,12,2
535,999,11,2
535,1002,19,1
536,610,13,1
536,934,15,1
537,727,18,1
538,541,19,1
539,842,10,1
540,896,14,1
541,765,20,1
542,545,23,1
542,632,16,1
543,598,14,1
544,622,23,2
544,673,21,1
546,856,17,1
547,660,10,1
547,832,12,1
549,966,10,1
550,640,13,2
550,678,11,2
550,739,16,2
550,816,17,1
552,744,14,2
552,869,14,1
